salt, "Salt"
ash, "Ash"
potash, "Potash"
chalk, "Chalk"
pure_salt, "Pure Salt"
purified_charcoal, "Purified Charcoal"
sal_alchimiae, "Sal Alchimiae"
nigredo, "Nigredo"
albedo, "Albedo"
rubedo, "Rubedo"
citrinitas, "Citrinitas"
alkahest, "Alkahest"
phosphorus, "Phosphorus"
fish_oil, "Fish Oil"
stone_dust, "Stone Dust"
gum_arabic, "Gum Arabic"
spirit_of_salt, "Spirit of Salt"
cinnabar, "Cinnabar"
realgar, "Realgar"
soul_ash, "Soul Ash"
sulfur, "Sulfur"
ultramarine, "Ultramarine"
luminous_spores, "Luminous Spores"
brass_dust, "Brass Dust"
silver_dust, "Silver Dust"
zinc_dust, "Zinc Dust"
amber, "Amber"
antimony, "Antimony"
saltpeter, "Saltpeter"
slime_resin, "Slime Resin"
vitriol, "Vitriol"
inferno_powder, "Inferno Powder"
spirit_of_winter, "Spirit of Winter"
purified_gold, "Purified Gold"
refined_oil, "Refined Oil"
obsidian_dust, "Obsidian Dust"
bitumen, "Bitumen"
oak_heartwood, "Oak Heartwood"
slime_oil, "Slime Oil"
aqua_fortis, "Aqua Fortis"
witherbone, "Witherbone"
ender_salt, "Ender Salt"
quicksilver, "Quicksilver"
fulminating_gold, "Fulminating Gold"
fulminating_silver, "Fulminating Silver"
quicklime, "Quickline"
phlogiston, "Phlogiston"
salamander_oil, "Salamander Oil"
frostflame_dust, "Frostflame Dust"
froglight_gel, "Froglight Gel"
lead, "Lead"
tar, "Tar"
end_blossom, "End Blossom"
deepslate_dust, "Deepslate Dust"
granite_dust, "Granite Dust"
andesite_dust, "Andesite Dust"
diamond_dust, "Diamond Dust"
ground_nether_star, "Ground Nether Star"
